DMU Number,Litres,Average Ppl,Mileage,Profits
DMU 1,411.17,83,1877.18,1345.27
DMU 2,1023.92,84,3529.32,2816.55
DMU 3,1537.69,148,3923.24,1007.52
DMU 4,361,83,1250.71,151.94
DMU 5,492.78,83,2982.66,2059.93
DMU 6,516.64,83,3778.31,3396.07
DMU 7,259.3,85,3054.6,2947.03
DMU 8,708.89,84,3237.17,2940.28
DMU 9,266.28,87,1729.98,1277.12
DMU 10,113.91,85,817.38,193.87
DMU 11,384.14,65,1409.55,11.26
DMU 12,208.91,58,2703.88,42.02
DMU 13,1174.17,103,2821.1,474.2
DMU 14,349.33,75,1190.92,38.57
DMU 15,327.25,43,504.83,1918.92
DMU 16,289.26,39,1199.11,691.5
DMU 17,99.16,40,730.44,1641.83
DMU 18,456.51,40,94.37,1951.99
DMU 19,229.11,2,147.57,708.89
DMU 20,59.65,44,152.98,68.68
DMU 21,18.74,1.93,934.3,414.47
DMU 22,448.47,48.98,336.68,134.71
DMU 23,56.92,11.7,117.09,206.59
DMU 24,275.33,16.65,894.26,418.87
DMU 25,47.15,4.42,279.43,470.69
DMU 26,339.11,20.37,4.16,668.04
DMU 27,115.26,26.27,462.28,45.59
DMU 28,402.56,15.09,961.27,66.41
DMU 29,415.29,43.4,479.33,637.05
DMU 30,76.34,15.91,66.57,684.6
DMU 31,317.77,36.81,790.05,350.17
DMU 32,375.34,4.72,809.93,189.18
DMU 33,91.59,14.04,268.05,509.06
DMU 34,476.26,34.56,172.31,102.06
DMU 35,380.82,12.8,275.6,498.47
DMU 36,385.35,40.51,40.92,276.97
DMU 37,492.72,16.23,891.3,62.26
DMU 38,292.92,26.47,832.88,281.84
DMU 39,197.1,7.54,209.64,662.74
DMU 40,60.77,28.36,432.04,361.4
DMU 41,201.82,0.64,329.55,330.18
DMU 42,342.71,49.67,465.36,375.59
DMU 43,496.54,36.19,531.05,278.24
DMU 44,430.7,17.91,870.71,645.11
DMU 45,231.64,2.06,558.74,655.41
DMU 46,400.6,4.99,988.83,59.63
DMU 47,272.16,17.54,376.57,128.36
DMU 48,141.16,13.71,515.47,413.14
DMU 49,271.57,30.12,263.2,659.34
DMU 50,437.18,0.32,27.49,168.82
DMU 51,325.18,30.78,694.28,20.61
DMU 52,264.91,17.38,231.1,92.14
DMU 53,195.65,42.78,770.91,171.95
DMU 54,1.14,39.71,64.67,194.24
DMU 55,114.49,49.21,369.52,118.54
DMU 56,306.28,2.85,135.19,19.09
DMU 57,300.67,48.54,784.75,303.76
DMU 58,147.3,37.4,845.5,71.12
DMU 59,103.28,35.06,96.33,277.08
DMU 60,491.13,25.07,342.09,63.9
DMU 61,82.93,2.93,121.46,330.1
DMU 62,120.77,23.2,106.47,290.29
DMU 63,315.3,42.61,594.67,220.83
DMU 64,329.11,38.49,539.25,372.56
